provider_num,rpt_rec_num,fy_begin,fy_end,total_revenue,medicare_revenue,medicaid_revenue,other_revenue,medicare_pct,medicaid_pct,other_pct,medicare_days,medicaid_days,other_days,total_days,data_quality
310025,757022,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
322004,757023,03/01/2021,02/28/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
451307,757053,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
512004,757068,08/01/2021,07/31/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
524001,757077,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
060049,757099,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
241300,757156,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
281301,757164,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
281316,757165,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
281357,757167,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
342018,757181,02/01/2021,01/31/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
364057,757221,04/01/2021,03/31/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
372009,757224,02/01/2021,01/31/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
420011,757234,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
141312,757320,05/01/2021,04/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
161363,757334,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
171341,757338,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
261305,757361,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
261323,757362,02/01/2021,01/31/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
281314,757364,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
390307,757401,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
392047,757404,02/01/2021,01/31/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
400135,757405,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
490005,757417,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
510030,757428,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
670090,757434,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
110029,757482,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
150048,757512,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
180070,757549,01/01/2021,05/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
180106,757550,04/01/2021,03/31/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
260020,757565,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
331303,757588,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
340114,757592,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
501322,757620,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
521302,757627,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
110006,757659,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
110198,757662,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
161364,757684,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
190312,757688,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
334067,757733,04/01/2021,03/31/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
340017,757736,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
100181,757828,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
141328,757841,04/01/2021,03/31/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
150012,757845,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
190036,757866,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
190314,757871,09/01/2021,08/31/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
260048,757901,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
120022,758069,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
120026,758070,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
151301,758083,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
